Date, Session Winnings, Session Losses
Tue Dec 31 04:00:00 EST 2024,,0.00
Wed Jan 01 04:00:00 EST 2025,1.20,,
Thu Jan 02 04:00:00 EST 2025,0.24,,
Fri Jan 03 04:00:00 EST 2025,,-0.05
Sat Jan 04 04:00:00 EST 2025,3.02,,
Sun Jan 05 04:00:00 EST 2025,,-2.75
Mon Jan 06 04:00:00 EST 2025,,-1.25
Tue Jan 07 04:00:00 EST 2025,,-3.98
Wed Jan 08 04:00:00 EST 2025,,-0.17
Thu Jan 09 04:00:00 EST 2025,,0.00
Fri Jan 10 04:00:00 EST 2025,,0.00
Sat Jan 11 04:00:00 EST 2025,,0.00
Sun Jan 12 04:00:00 EST 2025,,-0.50
Mon Jan 13 04:00:00 EST 2025,5.43,,
Tue Jan 14 04:00:00 EST 2025,,-1.82
Wed Jan 15 04:00:00 EST 2025,1.01,,
Thu Jan 16 04:00:00 EST 2025,1.35,,
Fri Jan 17 04:00:00 EST 2025,0.64,,
Sat Jan 18 04:00:00 EST 2025,,0.00
Sun Jan 19 04:00:00 EST 2025,,0.00
Mon Jan 20 04:00:00 EST 2025,9.21,,
Tue Jan 21 04:00:00 EST 2025,,-3.32
Wed Jan 22 04:00:00 EST 2025,,-2.84
Thu Jan 23 04:00:00 EST 2025,,-1.00
Fri Jan 24 04:00:00 EST 2025,,-1.00
Sat Jan 25 04:00:00 EST 2025,,-1.50
Sun Jan 26 04:00:00 EST 2025,1.51,,
Mon Jan 27 04:00:00 EST 2025,7.15,,
Tue Jan 28 04:00:00 EST 2025,1.31,,
Wed Jan 29 04:00:00 EST 2025,,-0.64
Thu Jan 30 04:00:00 EST 2025,0.74,,
Fri Jan 31 04:00:00 EST 2025,,-0.76
Sat Feb 01 04:00:00 EST 2025,7.87,,
Sun Feb 02 04:00:00 EST 2025,2.97,,
Mon Feb 03 04:00:00 EST 2025,2.57,,
Tue Feb 04 04:00:00 EST 2025,,-0.94
Wed Feb 05 04:00:00 EST 2025,0.59,,
Thu Feb 06 04:00:00 EST 2025,,-2.37
Fri Feb 07 04:00:00 EST 2025,6.14,,
Sat Feb 08 04:00:00 EST 2025,2.74,,
Sun Feb 09 04:00:00 EST 2025,,-1.69
Mon Feb 10 04:00:00 EST 2025,22.65,,
Tue Feb 11 04:00:00 EST 2025,2.62,,
Wed Feb 12 04:00:00 EST 2025,,-12.24
Thu Feb 13 04:00:00 EST 2025,,-3.98
Fri Feb 14 04:00:00 EST 2025,,-74.11
Sat Feb 15 04:00:00 EST 2025,33.62,,
Sun Feb 16 04:00:00 EST 2025,83.51,,
Mon Feb 17 04:00:00 EST 2025,8.17,,
Tue Feb 18 04:00:00 EST 2025,,-2.03
Wed Feb 19 04:00:00 EST 2025,,-6.73
Thu Feb 20 04:00:00 EST 2025,,-2.63
Fri Feb 21 04:00:00 EST 2025,9.93,,
Sat Feb 22 04:00:00 EST 2025,,-2.57
Sun Feb 23 04:00:00 EST 2025,5.65,,
Mon Feb 24 04:00:00 EST 2025,,-4.64
Tue Feb 25 04:00:00 EST 2025,,-6.35
Wed Feb 26 04:00:00 EST 2025,7.45,,
Thu Feb 27 04:00:00 EST 2025,1.45,,
Fri Feb 28 04:00:00 EST 2025,,-1.53
Sat Mar 01 04:00:00 EST 2025,,-10.65
Sun Mar 02 04:00:00 EST 2025,,-3.43
Mon Mar 03 04:00:00 EST 2025,,-7.31
Tue Mar 04 04:00:00 EST 2025,0.23,,
Wed Mar 05 04:00:00 EST 2025,10.42,,
Thu Mar 06 04:00:00 EST 2025,3.59,,
Fri Mar 07 04:00:00 EST 2025,,-3.14
Sat Mar 08 04:00:00 EST 2025,14.30,,
Sun Mar 09 04:00:00 EDT 2025,,-6.80
Mon Mar 10 04:00:00 EDT 2025,34.24,,
Tue Mar 11 04:00:00 EDT 2025,8.77,,
Wed Mar 12 04:00:00 EDT 2025,5.69,,
Thu Mar 13 04:00:00 EDT 2025,,-8.13
Fri Mar 14 04:00:00 EDT 2025,16.07,,
Sat Mar 15 04:00:00 EDT 2025,7.18,,
Sun Mar 16 04:00:00 EDT 2025,4.70,,
Mon Mar 17 04:00:00 EDT 2025,,-9.60
Tue Mar 18 04:00:00 EDT 2025,,-24.63
Wed Mar 19 04:00:00 EDT 2025,13.48,,
Thu Mar 20 04:00:00 EDT 2025,3.96,,
Fri Mar 21 04:00:00 EDT 2025,,0.00
Sat Mar 22 04:00:00 EDT 2025,,0.00
Sun Mar 23 04:00:00 EDT 2025,,0.00
Mon Mar 24 04:00:00 EDT 2025,,0.00
Tue Mar 25 04:00:00 EDT 2025,,0.00
Wed Mar 26 04:00:00 EDT 2025,,0.00
Thu Mar 27 04:00:00 EDT 2025,,0.00
Fri Mar 28 04:00:00 EDT 2025,11.48,,
Sat Mar 29 04:00:00 EDT 2025,,-5.85
Sun Mar 30 04:00:00 EDT 2025,11.09,,
Mon Mar 31 04:00:00 EDT 2025,1.37,,
Tue Apr 01 04:00:00 EDT 2025,,-1.41
Wed Apr 02 04:00:00 EDT 2025,1.35,,
Thu Apr 03 04:00:00 EDT 2025,10.93,,
Fri Apr 04 04:00:00 EDT 2025,,-15.03
Sat Apr 05 04:00:00 EDT 2025,30.19,,
Sun Apr 06 04:00:00 EDT 2025,,0.00
Mon Apr 07 04:00:00 EDT 2025,,0.00
Tue Apr 08 04:00:00 EDT 2025,,0.00
Wed Apr 09 04:00:00 EDT 2025,,0.00
Thu Apr 10 04:00:00 EDT 2025,,0.00
Fri Apr 11 04:00:00 EDT 2025,,0.00
Sat Apr 12 04:00:00 EDT 2025,,0.00
Sun Apr 13 04:00:00 EDT 2025,1.69,,
Mon Apr 14 04:00:00 EDT 2025,5.17,,
Tue Apr 15 04:00:00 EDT 2025,,-0.71
Wed Apr 16 04:00:00 EDT 2025,,-11.02
Thu Apr 17 04:00:00 EDT 2025,12.54,,
Fri Apr 18 04:00:00 EDT 2025,12.05,,
Sat Apr 19 04:00:00 EDT 2025,0.43,,
Sun Apr 20 04:00:00 EDT 2025,,-2.09
Mon Apr 21 04:00:00 EDT 2025,1.35,,
Tue Apr 22 04:00:00 EDT 2025,,-3.49
Wed Apr 23 04:00:00 EDT 2025,,-3.36
Thu Apr 24 04:00:00 EDT 2025,,-7.56
Fri Apr 25 04:00:00 EDT 2025,,-30.38
Sat Apr 26 04:00:00 EDT 2025,,-2.26
Sun Apr 27 04:00:00 EDT 2025,3.67,,
Mon Apr 28 04:00:00 EDT 2025,1.45,,
Tue Apr 29 04:00:00 EDT 2025,,-6.17
Wed Apr 30 04:00:00 EDT 2025,,-7.77
Thu May 01 04:00:00 EDT 2025,7.90,,
Fri May 02 04:00:00 EDT 2025,,0.00
